"game_date","game_pk","venue_name","venue_id","temperature","other_weather","wind","attendance","start_time","elapsed_time","game_id","game_type","home_sport_code","official_scorer","date","status_ind","home_league_id","gameday_sw"
"2022-04-07",663178,"Wrigley Field",17,"44","Cloudy","14 mph, Out To CF","35,112","1:22 PM","3:18","2022/04/07/milmlb-chnmlb-1","R","mlb","Allan Spear","April 7, 2022","F",104,"P"
"2022-04-07",662766,"Kauffman Stadium",7,"47","Cloudy","16 mph, L To R","28,459","3:10 PM","2:49","2022/04/07/clemlb-kcamlb-1","R","mlb","Max Utsler","April 7, 2022","F",103,"P"
"2022-04-07",662021,"Busch Stadium",2889,"50","Cloudy","20 mph, Out To RF","46,256","3:24 PM","3:08","2022/04/07/pitmlb-slnmlb-1","R","mlb","Gary Mueller","April 7, 2022","F",104,"P"
"2022-04-07",662571,"Nationals Park",3309,"52","Cloudy","4 mph, Out To RF","35,052","8:21 PM","3:31 (1:16 delay)","2022/04/07/nynmlb-wasmlb-1","R","mlb","Benjamin Trittipoe","April 7, 2022","F",104,"P"
"2022-04-07",661577,"Truist Park",4705,"63","Partly Cloudy","15 mph, R To L","40,545","8:08 PM","3:01","2022/04/07/cinmlb-atlmlb-1","R","mlb","Guy Curtright","April 7, 2022","F",104,"P"
"2022-04-07",661042,"Angel Stadium",1,"93","Clear","6 mph, Out To RF","44,723","7:05 PM","3:15","2022/04/07/houmlb-anamlb-1","R","mlb","Ed Munson","April 7, 2022","F",103,"P"
"2022-04-07",663418,"Chase Field",15,"93","Clear","6 mph, L To R","35,508","6:40 PM","3:18","2022/04/07/sdnmlb-arimlb-1","R","mlb","Kara Blackstone","April 7, 2022","F",104,"P"
"2022-04-08",661333,"Yankee Stadium",3313,"59","Partly Cloudy","10 mph, Out To CF","46,097","1:12 PM","3:56","2022/04/08/bosmlb-nyamlb-1","R","mlb","Howie Karpin","April 8, 2022","F",103,"P"
"2022-04-08",661750,"Target Field",3312,"45","Sunny","17 mph, Out To RF","35,462","3:16 PM","2:53","2022/04/08/seamlb-minmlb-1","R","mlb","Sarah Johnson","April 8, 2022","F",103,"P"
"2022-04-08",661333,"Yankee Stadium",3313,"59","Partly Cloudy","10 mph, Out To CF","46,097","1:12 PM","3:56","2022/04/08/bosmlb-nyamlb-1","R","mlb","Howie Karpin","April 8, 2022","F",103,"P"
"2022-04-08",662888,"Comerica Park",2394,"45","Cloudy","10 mph, R To L","43,480","1:12 PM","3:30","2022/04/08/chamlb-detmlb-1","R","mlb","Ron Kleinfelter","April 8, 2022","F",103,"P"
"2022-04-08",661131,"Citizens Bank Park",2681,"64","Sunny","10 mph, Out To CF","44,232","3:12 PM","3:14","2022/04/08/oakmlb-phimlb-1","R","mlb","Mike Maconi","April 8, 2022","F",104,"P"
"2022-04-08",661918,"Tropicana Field",12,"72","Dome","0 mph, None","25,025","3:10 PM","3:14","2022/04/08/balmlb-tbamlb-1","R","mlb","Bill Mathews","April 8, 2022","F",103,"P"
"2022-04-08",662933,"Coors Field",19,"66","Sunny","6 mph, R To L","48,627","2:11 PM","3:09","2022/04/08/lanmlb-colmlb-1","R","mlb","Jillian Geib","April 8, 2022","F",104,"P"
